,Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
24302,2021-06-17,Canada,Alberta,231008,,2280
24303,2021-06-18,Canada,Alberta,231132,,2283
24304,2021-06-19,Canada,Alberta,231259,,2289
24305,2021-06-20,Canada,Alberta,231359,,2290
24306,2021-06-21,Canada,Alberta,231419,,2292
24307,2021-06-22,Canada,Alberta,231476,,2290
24308,2021-06-23,Canada,Alberta,231568,,2292
24309,2021-06-24,Canada,Alberta,231641,,2293
24310,2021-06-25,Canada,Alberta,231641,,2293
24311,2021-06-26,Canada,Alberta,231641,,2293
24312,2021-06-27,Canada,Alberta,231641,,2293
24313,2021-06-28,Canada,Alberta,231850,,2295
24314,2021-06-29,Canada,Alberta,231911,,2299
24315,2021-06-30,Canada,Alberta,231987,,2301
24316,2021-07-01,Canada,Alberta,231987,,2301
24317,2021-07-02,Canada,Alberta,232097,,2301
24318,2021-07-03,Canada,Alberta,232097,,2301
24319,2021-07-04,Canada,Alberta,232097,,2301
24320,2021-07-05,Canada,Alberta,232236,,2303
24321,2021-07-06,Canada,Alberta,232269,,2305
24322,2021-07-07,Canada,Alberta,232336,,2307
24323,2021-07-08,Canada,Alberta,232359,,2307
24324,2021-07-09,Canada,Alberta,232411,,2307
24325,2021-07-10,Canada,Alberta,232411,,2307
24326,2021-07-11,Canada,Alberta,232411,,2307
24327,2021-07-12,Canada,Alberta,232501,,2307
24328,2021-07-13,Canada,Alberta,232536,,2310
24329,2021-07-14,Canada,Alberta,232582,,2311
24330,2021-07-15,Canada,Alberta,232635,,2312
24331,2021-07-16,Canada,Alberta,232676,,2314
24332,2021-07-17,Canada,Alberta,232676,,2314
24333,2021-07-18,Canada,Alberta,232676,,2314
24334,2021-07-19,Canada,Alberta,232806,,2316
24335,2021-07-20,Canada,Alberta,232875,,2318
24336,2021-07-21,Canada,Alberta,232956,,2318
24337,2021-07-22,Canada,Alberta,233062,,2320
